from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
23005;13383;834;102.0;198;3:6,6:192
10718;25457;854;72.81818181818181;22;12:22
10718;28116;3107;210.0;33;12:33
34271;19832;2985;181.5728155339806;103;10:81,13:22
34271;35970;2985;180.0;5;10:5
34272;38689;3185;216.0;13;10:13
34272;38690;3186;206.8695652173913;92;10:69,13:23
30056;33785;1900;120.0;102;9:59,10:20,13:23
30056;35967;3847;222.0;13;9:13
30056;35713;3920;228.0;1;9:1
10722;26350;1230;90.0;48;12:48
2531;19635;1580;109.0909090909091;55;9:55
2531;423;1601;149.0;2;9:2
14820;13472;6117;360.0;24;8:24
14820;29512;1455;111.0;2;8:2
14821;34571;1906;171.0;16;8:16
14821;34573;1907;180.0;2;8:2
14822;13475;6115;360.9056603773585;53;8:53
14822;29509;1456;108.0;81;8:57,13:24
8273;12677;938;125.0;140;10:130,11:10
2536;19635;1580;102.0;8;9:8
19945;31108;1431;96.13636363636364;44;10:4,11:40
33432;38797;1177;178.92307692307693;13;4:13
5543;30341;969;240.0;21;6:21
5543;30342;978;180.86666666666667;90;6:90
34284;11098;3586;240.0;58;8:58
34285;11098;3583;240.0;1;8:1
34285;11099;3582;240.0;11;8:11
34286;30504;2363;141.0;6;8:6
5544;7641;3310;210.0;25;6:25
5544;26214;1441;102.0;81;6:81
8275;13982;1163;96.12698412698413;189;12:178,4:11
18932;26041;1801;294.0;25;4:25
18933;36150;2863;239.1818181818182;22;4:22
33271;27980;3112;210.0;5;8:5
33271;27981;3112;216.0;33;8:33
33272;19324;3334;258.0;38;8:38
35321;9880;8284;614.1290322580645;31;12:10,4:21
35321;19377;1891;119.89655172413794;58;12:55,4:3
35321;16634;7105;420.0;32;12:32
35321;9878;8305;600.0;2;4:2
35321;30793;6049;390.0;5;4:5
3578;28252;3485;209.65714285714284;70;8:70
3579;39076;1672;132.0;52;8:52
3579;39079;1673;132.0;23;8:23
10212;25458;1139;90.0;47;12:47
25857;24163;872;90.87719298245614;171;10:153,11:18
